username,screenname,created_at,tweet_text,sentiment
. 🎎 •OT5 ONLY 👑.,_KrSl8,2019-11-12 07:16:02," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
Matthew Wiringi,MattWiringi,2019-11-12 07:11:29,new season! #lebronsoldier13 #nike #basketball ,Neutral
FootyZone.net,FootyZoneNet,2019-11-12 07:10:29, english football league trophy 02:00 wib gillingham vs tottenham hotspur u21 live stadion priestfield #bola #sepakbola #li ,Neutral
Travis Thompson,t_train4results,2019-11-12 07:09:19,finished off shoulders with upright row superset with clean and press. #tfr #personaltrainer #trainingforresults ,Positif
Conn SCG 4 Trump ⭐⭐⭐,ConnSCG,2019-11-12 07:06:50," this, ladies and gentlemen, is all a nike shoe is good for if you ask me #nike ",Positif
EasyGrab,easygrab1,2019-11-12 07:05:27, check out #nike air #foamposite pro pine green black size 12 penny sneakers shoes   ,Neutral
EasyGrab,easygrab1,2019-11-12 07:05:24, check out #nike air foamposite one shoes eggplant size 11.5 penny hardaway   ,Neutral
EasyGrab,easygrab1,2019-11-12 07:05:20, check out #nike flyknit air max multicolor sneakers 620469-022 mens size 11 shoes  #airmax ,Neutral
EasyGrab,easygrab1,2019-11-12 07:05:17, check out #nike big kids air max 90 leather shoes summit white metallic gold   ,Neutral
g,deuxfession,2019-11-12 07:03:31," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
StockX Live Feed,StockXLive,2019-11-12 07:02:31,lowest ask: $450 air fear of god 1 oatmeal sz. 11 #nike ,Negatif
afrilia dwi permata,afriliaginting,2019-11-12 06:59:15," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
twiceoutfitter,ifashiontwice,2019-11-12 06:58:49,#twice #twicelightsinjapan shoes #nike #mamavote ,Neutral
Stay Gold,HuangTao824,2019-11-12 06:51:52, union one time only air max 97/360 sole swapped with an air max 1 to give it that  vibe! . . . #nike #sean ,Neutral
daw🇨🇷,sondaw_,2019-11-12 06:51:47, crossover.  x  x  football shirt. stunning and luxury design. #psg #pauleta #portugal  ,Positif
Kiyoharu TOGAWA,ComKiyoharu,2019-11-12 06:50:30,todayzstyle!! #hoopinthehood #aloha #kobe6 #nikeid #colors_of_day #basketball #basketballnevrstops #nike #fashion ,Neutral
YAMAOTOKO underpass,YAMA_undrpss,2019-11-12 06:47:37,"nike basketball basketball lebron xvii bq3177-600 university red/university red  20,000+tax  on sale n ",Neutral
SEIYA,SeiyaFX,2019-11-12 06:41:20, nike run wild collection advertising campaign likes and rts are appreciated   check out my new project on   :  https:/ ,Positif
Mae 🌼,maeyaahh,2019-11-12 06:38:54," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
StockX Live Feed,StockXLive,2019-11-12 06:37:37,lowest ask: $199 nike flyknit racer total orange (2012) sz. 14 #nike ,Negatif
#ThankGodItsSundae 💛,SongPrince7,2019-11-12 06:36:46," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
leefriend,leefriend1981,2019-11-12 06:34:32, **breaking news** win a 400 voucher to be used . all you have to do is 1 rt and like this ,Positif
StockX Live Feed,StockXLive,2019-11-12 06:32:43,lowest ask: $154 nike acg react terra gobe deep jungle sz. 14 #nike ,Negatif
Patrick Kar-Wai Poon 潘嘉偉🎐,patrickpoon,2019-11-12 06:30:36," the chinese news from oct,2019 indicates that 720 out of 3100 female workers in #qingdao taekwang are #uyghurs from hota ",Neutral
TITOLO,titoloshop,2019-11-12 06:30:14,pricedrops many reduced sneakers and clothes shop now  #nike #adidas #puma #jordan ,Neutral
BintangCash-Net,bintangcash,2019-11-12 06:30:13,english football league trophy 02:00 wib gillingham vs tottenham hotspur u21 live stadion priestfield #bola ,Neutral
KOKOLU shoes,KOKOLU15,2019-11-12 06:29:55,"we use #ortholite to make kokolu more soft, breathable, flexible. this material also be used to  #nike ",Positif
patterstore01,patterstore01,2019-11-12 06:24:46,"#patterstore01 #repost with  
 
nike wmns react element 55 | eu 36 41 | 12 ",Neutral
patterstore01,patterstore01,2019-11-12 06:24:45,"#patterstore01 #repost with  
 
nike wmns react element 55 | eu 36 41 | 12 ",Neutral
patterstore01,patterstore01,2019-11-12 06:24:44,"#patterstore01 #repost with  
 
nike wmns react element 55 | eu 36 41 | 12 ",Neutral
Lydia,LydiaAsena,2019-11-12 06:20:54,our makanga shoe game this morning #nike ,Neutral
StockX Live Feed,StockXLive,2019-11-12 06:19:09,lowest ask: $175 nike react element 87 thunder blue/total orange sz. 9.5 #nike ,Negatif
Loïc Zébo,bg_zbo,2019-11-12 06:18:20, crossover.  x  x  football shirt. stunning and luxury design. #psg #pauleta #portugal  ,Positif
Outlet,Outletclothings,2019-11-12 06:13:02," nike 371740-011_airsafari czazy sale 29% price only 71.00 buy now at 
#nike #sneakers #sale #fashion #b ",Neutral
patterstore01,patterstore01,2019-11-12 06:11:32,"#patterstore01 #repost with  
 
nike wmns react element 55 | eu 36 41 | 12 ",Neutral
patterstore01,patterstore01,2019-11-12 06:11:31,"#patterstore01 #repost with  
 
nike wmns react element 55 | eu 36 41 | 12 ",Neutral
patterstore01,patterstore01,2019-11-12 06:11:30,"#patterstore01 #repost with  
 
nike wmns react element 55 | eu 36 41 | 12 ",Neutral
Mҽrry Lαili,mrylil,2019-11-12 06:08:14, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
GLOBAL PLUG,mrgogetta3878,2019-11-12 06:05:49,"hoops4homeless tournament this saturday and sunday, gonna be fun, but we need your help... #tylerperry  ",Positif
StockX Live Feed,StockXLive,2019-11-12 06:04:15,lowest ask: $115 air trainer sc high vast grey sz. 10 #nike ,Negatif
coolrain lee,coolrainz,2019-11-12 06:03:15,astromax 95 #wip #am95 #neon #og #nike #coolrain #coolrainlabo ,Neutral
GLOBAL PLUG,mrgogetta3878,2019-11-12 06:01:10,"this saturday and sunday gonna be fun. hoops4homeless tournament, isa 5639 memorial drive stone mountain ga 30083  ",Positif
TITOLO,titoloshop,2019-11-12 06:00:11,pricedrops many reduced sneakers and clothes reduced take a look  #nike #adidas #puma ,Neutral
Luxuby.com,luxuby,2019-11-12 06:00:05,"nike 371740-011_airsafari czazy sale 29% price only 71.00 buy now at 
#nike #sneakers #sale  ",Neutral
Althea Browne,Althea_Browne,2019-11-12 05:59:58," this time of year you can use some motivation to hit the gym, to go out running, to do your exercises! work on your bo ",Positif
Topp Dogg Deals,DealsDogg,2019-11-12 05:58:29,nike jordan fly '89 size 11 men's without box black royal blue for sale now!!! #nike #jordans #sneakerheads  ,Neutral
shengkho,shengkho1,2019-11-12 05:54:18," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
👑Vip_Bang👑,Vip_Bang_0819,2019-11-12 05:54:00," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
Play Golf,playmygolf,2019-11-12 05:50:33,golf - nike golf base layer  ls nike pro shirt  obsidian aw19: current prince purchase details nike golf base la  ,Neutral
Hardloopmoeders,hardloopmoeders,2019-11-12 05:49:14,"this time of year you can use some motivation to hit the gym, to go out running, to do your exercises! work on your ",Positif
Esquire*Attire,esquireattire,2019-11-12 05:48:50,sale $71.25 #nike zoom domination tr 2 training #shoes men siz ,Negatif
Berkeley High Jacket,bhsjacket,2019-11-12 05:45:50,record breaking sub two hour marathon from leads to questions over fairness of the nikes he was wear ,Neutral
ξT_,Sup_JT,2019-11-12 05:45:21, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
‘neshia mfn t. 🤍,_neshiaaaa,2019-11-12 05:44:44," new forces comin' at you  the #nike af-1 ""brutal utility"" pack is available in stores and online now. shop |  ",Negatif
hayze,zyzyheizee,2019-11-12 05:44:12, ig story #peaceminusone #nike ,Neutral
cynthia,_antae_,2019-11-12 05:43:10," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
MercTV,MercTV,2019-11-12 05:42:33,my shoes are glowing. #nike #lebron12 #mefctvsg #wdywt #kotd ,Neutral
Phyl,Phyl_Milner,2019-11-12 05:42:25, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
LIGHTRUCKITTEN,LIGHTRUCKITTEN,2019-11-12 05:42:17,nike dunk #nike #dunk # ,Neutral
Tj David,TyFrequency,2019-11-12 05:40:02, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
Cripto Kicks,CriptoKicks,2019-11-12 05:39:42,who copped those #kyire 6 pre heat s on the #nike snkrs surprise drop today? #lunchmoney ,Neutral
G,abjc_G,2019-11-12 05:33:49," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
KAMOSWERVE💯,PrettyDopeSon,2019-11-12 05:33:23, nike air jordan 1 now available on  for r1800 including delivery #nikeairjordan1 #nike #jordan #jord ,Neutral
Josa Ramirez,ramirez_josa,2019-11-12 05:31:17, who said these were hard to rock?!nike air force one x what the la #dope #sneakers #nike #airforce1 ,Negatif
everysize,everysize_com,2019-11-12 05:30:50,start your day right annikamths #swoosh #toast #nike #breakfast #sneaker #hskicks #everysize ,Neutral
Luxuby.com,luxuby,2019-11-12 05:30:05,nike women's sneakers black 917646-007_wmnsairmax97premium czazy sale 39% price only 115.90 buy now at  ,Neutral
TITOLO,titoloshop,2019-11-12 05:30:05,pricedrops many reduced sneakers and clothes reduced check it out #nike #adidas #puma ,Neutral
StockX Live Feed,StockXLive,2019-11-12 05:29:16,lowest ask: $120 nike epic react flyknit 2 white pink foam (w) sz. 6w #nike ,Negatif
StockX Live Feed,StockXLive,2019-11-12 05:25:40,lowest ask: $112 air trainer 1 flax sz. 10 #nike ,Negatif
Oscar M. Luque,OscarMLuque,2019-11-12 05:24:26,sport team fit #oscarpersonaltrainer #reus #reusesport #fit #calisthenics #girl #fitness #wellness #beach  ,Positif
Termmate,termmate,2019-11-12 05:23:51,nike's cost of capital is an interesting case study most of you will have come across during your studies. today's ,Positif
Carlos Rolon,TheGuyThatRaps_,2019-11-12 05:23:12,hit him up for the fresh customs. #nike #airforce1 #lv #jpolocustoms ,Positif
Lobo Del Sol,LoboDelSol222,2019-11-12 05:21:35, never quit. do it all for #love . thank you for being an amazing leader #russellwilson . since the first  ,Positif
A'a Jabar,Afagyel,2019-11-12 05:20:02, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
PSG en Direct 🌐,PSG24hours,2019-11-12 05:19:21, crossover.  x  x  football shirt. stunning and luxury design. #psg #pauleta #portugal  ,Positif
michaL Negrito,iamsupermichal,2019-11-12 05:18:46, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
StockX Live Feed,StockXLive,2019-11-12 05:15:39,lowest ask: $132 nike air presto essential black/black-white sz. 9 #nike ,Negatif
GD's princess,ibgdrgnprincess,2019-11-12 05:15:14," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
bana.banana,hulk_koffee,2019-11-12 05:14:22, instagram removed this vid... credit  #sagging #sagger #saggerboy #saggerbros #belowass #belowbulge #bulge #ca ,Positif
Y-Quake 👍〽️,YQuake,2019-11-12 05:14:18,"been thru it all, its called experience... #seahawks #gohawks #nike ",Neutral
Gav P.,myFutbolShirts,2019-11-12 05:13:35,crossover. x x football shirt. stunning and luxury design. #psg #pauleta #portugal ,Positif
Human meme,Future_King1,2019-11-12 05:08:42, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
Palmira Elizondo,ElizondoPalmira,2019-11-12 05:07:48, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
fiveamazingpeople,_victoryyyy_,2019-11-12 05:06:34," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
WalrusNoises,Walrus_Noises,2019-11-12 05:04:56, now available on #nike us. nike sportswear just do it sweatpants. &gt; #ad ,Neutral
Play Golf,playmygolf,2019-11-12 05:03:03,golf - nike golf shirt  mm fly blade stripe alpha  copa blue aw16: current prince purchase details nike golf shi  ,Neutral
Mummy Fever,MummyFever,2019-11-12 05:02:08,footwear for #running - looking after your feet one step at a time #run #footwear ,Neutral
KicksCrew.com,kickscrew,2019-11-12 05:00:16,[restock] nike air tailwind 79 - be true (bv7930-400) order link: #sneakflies #hyperbeast ,Positif
Luxuby.com,luxuby,2019-11-12 05:00:04,"nike 918413-102_wmnsairmax95 czazy sale 28% price only 129.60 buy now at 
#nike #sneakers  ",Neutral
Paula Anne,PiccaPaula,2019-11-12 04:57:18,nike airmax 270 react thank you kuya para sa advance birthday gift. i love you! #nike #nikeph ,Positif
Jr.,SscottJr13,2019-11-12 04:56:22," solid. #nike zoom freak 1 atmosphere grey launching 11/15, in-store and online ",Negatif
Too Much Sauce Sneak,2muchsaucesneak,2019-11-12 04:56:21,adidas yeezy size 8.5 and 10.5 #igsneakercommunity #kotd #wdywt #nike #jordan #complexkicks #nt #walklikeus ,Neutral
PeKING James,PeKingJamesPRC,2019-11-12 04:55:25," i m not sure what the problem is here, guy. you re uneducated on this topic. see #spacejam2 and buy my  ",Negatif
N8Smash,n8smash26,2019-11-12 04:53:03,blue the great #bluethegreat #nike #nikelosangeles #footaction #complex #complexkicks #complexsneakers ,Positif
In-bok Choi / 최인복,dentistacuoco,2019-11-12 04:48:03, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
Xeihfe Waawfu,waawfu,2019-11-12 04:46:28,rare! nike 3 pc usa umnt soccer luggage suitcase set fiftyone49 travel us bag ( 63 bids ) #rare! #nike ,Neutral
Swagafied,swagafiedkicks,2019-11-12 04:43:27, big kids size large jersey $15 shipped via paypal. dm to purchase. #basketball #kobe #lakers #adidas #reseller #ebay #vintage ,Neutral
Swagafied,swagafiedkicks,2019-11-12 04:43:11, . . nike kyrie low 2 'multi-color' . #nike #nikebasketball #swoosh #basketball #kyrie #kyrielow2 ,Negatif
Cristian Sivira,Chichi_sivira,2019-11-12 04:42:53, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
Kaka$hi,cascasan_san,2019-11-12 04:41:52, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
🐉🐰,daljiyong,2019-11-12 04:41:30," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
Spyda Fontaine,SpydaFontaine,2019-11-12 04:40:50," nike women's vapor street / off-white release thursday, 11/14 ($190 - sizes 6w - 14.5w)  follow the link for full release info ",Neutral
Fonzie Wonzie,Cadriel_,2019-11-12 04:40:39, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
John Ritchie. 🇭🇰😷Stand with Hong Kong😷🇭🇰,mjritchi2,2019-11-12 04:39:56," #godbless her, as a mere mortal myself, my only complaint is that her incredible courage+dignity is e  ",Negatif
Sophisticated Zone,SZone13,2019-11-12 04:39:39, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
niamh,niamhpw,2019-11-12 04:39:38, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
小林 旭,kooooba45,2019-11-12 04:39:15,. . nike kyrie low 2 'multi-color' . #nike #nikebasketball #swoosh #basketball #kyrie #kyrielow2 ,Negatif
💃,riririrararaa,2019-11-12 04:38:20," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
Vietnam Sneaker Generation,VietnamSneakerG,2019-11-12 04:38:15," enjoy the run 

the #nike joyride run pod and joyride run flyknit are set to drop next week on 11/18.  ",Positif
hi.sauropod,iamaaintheworld,2019-11-12 04:36:02, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
Josh Terry,Jts_HeroeShop,2019-11-12 04:35:47,spotlighting this dope #lightning #yellow #justinherbert #new #nike #footballjersey adult size medium link below to ,Neutral
Feeno,Feeno920,2019-11-12 04:34:26, big kids size large jersey $15 shipped via paypal. dm to purchase. #basketball #kobe #lakers #adidas #reseller #ebay #vintage ,Neutral
brian 🌹👍 dsausa.org #FDR,beavis19755,2019-11-12 04:34:15, #nike just make urself worse,Negatif
THE Q OF UX,carlosq19,2019-11-12 04:33:51, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
Adisatrya-san,Adisatryajohari,2019-11-12 04:33:47, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
Matt Hutch,mattyhutch,2019-11-12 04:33:02, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
JJ,JosiahBernas,2019-11-12 04:31:10, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
Nicky Coors,NickyCoors,2019-11-12 04:30:27, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
ஃ,_AlphaLupi,2019-11-12 04:30:14, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
Luxuby.com,luxuby,2019-11-12 04:30:03,"nike cd0175-100_wmnsairmax95essential czazy sale 29% price only 117.15 buy now at 
#nike  ",Neutral
HYPEBEAST,HYPEBEAST,2019-11-12 04:30:00,take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also co ,Positif
love endless,se12gd,2019-11-12 04:28:52," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
Brandon Hunt,brandohunt2016,2019-11-12 04:21:29,nike air jordan 1 mid premier gs gg 6.5y black dark grey winterized 852548 002 #nike #airjordan #jordan #retro1 ,Positif
“Raf” 🐲,ShrlNizm,2019-11-12 04:20:31," today's top #outfitgrid is by . 
 #swarovski x #bape #tee 
 #swarovski x #newera #yankees #cap 
 #apc ",Positif
