username,screenname,created_at,tweet_text,sentiment
RAPCINE,RAPCINE,2019-11-12 02:55:19," la recap a bunch of dope folk &amp; good meetings the best part about it was having my mom with me the whole time  
 ",Positif
PJ,itspj_22,2019-11-12 02:36:53," la recap a bunch of dope folk &amp; good meetings the best part about it was having my mom with me the whole time  
 ",Positif
Play Golf,playmygolf,2019-11-12 02:25:32,golf - puma golf shirt  pattern block high risk red ss16: current prince purchase details puma golf shirt  patte  ,Negatif
Play Golf,playmygolf,2019-11-12 02:10:05,golf - puma junior golf shirt  road map bright white ss16: current prince purchase details puma junior golf shirt  ,Positif
Play Golf,playmygolf,2019-11-12 01:37:32,golf - puma golf trousers  plaid pant  quarry aw19: current prince purchase details puma golf trousers  plaid p  ,Neutral
Fashion Gone Rogue,fashgonerogue,2019-11-12 01:30:20,#selenagomez goes casual in #puma cali sport campaign ,Positif
Paul,LuvinlifeinTN,2019-11-12 01:12:18,check out steve young san francisco 49ers nfl football puma jersey boy youth large sewn #puma via ,Neutral
Uberjoe,uberjosephB,2019-11-12 00:34:00,they still make #puma #sneakers? ,Neutral
México Lindo 🇲🇽,Selenaarry,2019-11-12 00:33:30, #selenagomez ( ) fronts #puma's cali sport campaign. ,Neutral
elizabeth webster,websterelizabet,2019-11-12 00:20:36, for style...#puma for sure man! ,Positif
StockX Live Feed,StockXLive,2019-11-12 00:08:14,lowest ask: $78 puma suede classic bobbito garcia ochre sz. 11 #puma ,Negatif
Rap Critics Blog,RapCriticsBlog,2019-11-11 23:56:10," la recap a bunch of dope folk &amp; good meetings the best part about it was having my mom with me the whole time  
 ",Positif
alex leon,alexleo03765694,2019-11-11 23:55:39, #selenagomez ( ) fronts #puma's cali sport campaign. ,Neutral
Calcio Pepe,calcio_pepe,2019-11-11 23:29:15,weston mckennie . . . . #schalke #fussball #fu ball #picoftheday #mckennie #soccer #football #germany ,Neutral
Ginger Potts,Niccipotamus,2019-11-11 23:26:45, the #pumafam here in az  westgate location knows it!! that's d'brickashaw our very own puma catdog mascot!!  ,Neutral
Manufacturing UK PR 🔩,ManufacturingRT,2019-11-11 23:24:56, online #auction sale - 14 nov 2019 - *high quality* #cnc &amp; conventional machinery on behalf of a retained client at ,Neutral
Philip Friedman,WalkwithPhil,2019-11-11 23:24:11,"beautiful morning walk in kunshan, china. it s the start of another lovely day a a great opportunity for me to send ",Positif
🖤,fetishofsel,2019-11-11 23:12:08, #selenagomez ( ) fronts #puma's cali sport campaign. ,Neutral
Likud Herut UK,LikudUK,2019-11-11 22:45:54, thank you for supporting inclusiveness &amp; cohesion. #arab #israeli #muslim  #puma #bringingpeopletogether.  ,Positif
"Fresh Start, New beginnings on all Platforms 👁‍🗨",_ImperialDreams,2019-11-11 22:36:40," la recap a bunch of dope folk &amp; good meetings the best part about it was having my mom with me the whole time  
 ",Positif
Susan Jacobson,SusiecatMn,2019-11-11 22:34:56, bernies bill includes mental health/medical/vision/dental/hearing/rx and long term care in your ho ,Positif
FAIRY🕊,sl3azoid_,2019-11-11 22:28:16," la recap a bunch of dope folk &amp; good meetings the best part about it was having my mom with me the whole time  
 ",Positif
Beanz,beanzgotbarz,2019-11-11 22:19:43,la recap a bunch of dope folk &amp; good meetings  the best part about it was having my mom with me the whole time   ,Positif
Susan Jacobson,SusiecatMn,2019-11-11 22:16:59," it's not pressure. the #notmeus movement is we the people, bernie is leading this move ",Positif
Adriano,AAttene,2019-11-11 22:00:11, #yoshi t-shirt -  super mario bros t-shirt for just $13! #lirovi #lilianrodriguez #logo #nintendo ,Positif
Eric Roderick,EricRoderick9,2019-11-11 21:58:17," giving back: gives backpacks to kids in the bronx with and ! 

more info - ",Positif
Esquire*Attire,esquireattire,2019-11-11 21:53:52,sale $41.40 #puma men size s ferrari big shield lapis blue #co ,Neutral
Fictional Tees,FictionalTees,2019-11-11 21:52:17,#yoshi t-shirt - super mario bros t-shirt for just $13! #lirovi #lilianrodriguez #logo ,Positif
The Shirt List,theshirtlist,2019-11-11 21:52:16,#yoshi t-shirt - super mario bros t-shirt from &amp; for just $13! #lirovi ,Positif
SavingAnimals,Kimberlykokourt,2019-11-11 21:43:32, please kind humans of #nyc #newyorkcity #newyork &amp; beyond help ,Positif
Sneaker King,JustTheClassics,2019-11-11 21:32:18,"women s puma classics, just in time for the holiday season. limited sizes and availability. place your order soon!! ",Positif
Retro Footy Shirts,Style4youUK,2019-11-11 20:48:43, 2003 2004 original 125th anniversary #everton #puma #evertonfc football soccer shirt vintage --&gt;  h ,Positif
3kotsclassicjerseys,3kots,2019-11-11 20:37:18,check out tenerife cd 1993/94 puma home football shirt l mens vintage soccer jersey #puma via ,Neutral
Tumie Mmoleli,tumie_moleli808,2019-11-11 20:36:44, puma boyz keep doing the most #kfcproposal . bhut hector and his lovely bride nonhlanhla each deserve r10 000 of ,Positif
Adreano Di Nardo,adreano_calcio,2019-11-11 20:35:56," just take our money  peak the new  away kit for rate it below or  

#italia #azzurri #nazion ",Neutral
Car Accessories,CarAccessOM,2019-11-11 20:27:10,"#puma men's #ferrari #kart cat #sneaker, #white #blac, 9.5 m us - #mens ",Neutral
#HoldUp 🌐,PhlykidRSA,2019-11-11 19:55:25,wolf. of. all. streets #planetfitness #puma cc ,Neutral
Karen Mc  Ⓥ 🌱🐾🐾,karen1_mc,2019-11-11 19:54:29, please kind humans of #nyc #newyorkcity #newyork &amp; beyond ,Positif
Karen Mc  Ⓥ 🌱🐾🐾,karen1_mc,2019-11-11 19:51:40, #puma #id79351 #manhattanacc #male #2yearsold #neutered puma needs #pledges and #donations so that a #newhopepartner # ,Neutral
eBay Deals US,eBay_Deals_US,2019-11-11 19:44:21,us $24.99. #puma puma smash perf men's sneakers... buy it now: ,Neutral
Brenda P. Williamson ** PLS RT for #cats ! **,BrendaPerrott,2019-11-11 19:32:18, #puma #id79351 #manhattanacc #male #2yearsold #neutered puma needs #pledges and #donations so that a #newhopepartner # ,Neutral
FlatOut Shoes and Apparel,FlatOutShoes,2019-11-11 19:01:33,sale alert!! puma defy mid-top nylon trainer sneakers now $60. shop now: #puma #pumas ,Positif
Nicholas Di Giovanni,n_digiovanni,2019-11-11 18:58:30," just take our money  peak the new  away kit for rate it below or  

#italia #azzurri #nazion ",Neutral
buzzbeaterz,buzz_beaterz,2019-11-11 18:53:52,athleisure clothing shouldn t have to be boring! we re here to make sure you re in style even while you exercise! ,Neutral
TheCalcioGuys,TheCalcioGuys,2019-11-11 18:49:34,"just take our money peak the new away kit for  rate it below or 

#italia #azzurri ",Neutral
Roberta Kravette,WildlifeDest,2019-11-11 18:20:10, offer glimpse into life of endangered florida panther. an effort to save one of florida's endnagered panther ,Positif
Jordana Caroline,Jo_Carol_,2019-11-11 17:59:31, puma boyz keep doing the most #kfcproposal . bhut hector and his lovely bride nonhlanhla each deserve r10 000 of ,Positif
Dan Forrister,Danforrister,2019-11-11 17:56:20,as a big #capri fan i have mixed feelings about this. especially after the disaster that is the #puma ,Negatif
VICENTE GALLART,nodigasicono,2019-11-11 17:45:24, where are my autumn retro sneakers?  #puma #rider #80s #sneakers #comeback #retrostyle #toptrend #onsalenow  ,Neutral
TheKitman.co.uk,TheKitmanUK,2019-11-11 17:34:09,"thoughts on the 2020 away kit made by ? 

 #czechrepublic #ceskarepre #puma",Neutral
TheRealMsV,ValerieRametsi,2019-11-11 17:31:44,i'm a sneaker lover #puma ,Positif
Matthew Holly,MatthewHolly7,2019-11-11 16:51:31, the new 2020 #italy away kit by #puma for #euro2020 #football #fussball #soccer #futbol ,Neutral
Craig's Curling Shoes,CurlingShoes,2019-11-11 16:50:12,these #puma with the #bmw and #ferrari cross branding came through just a couple weeks apart. i wonder if they'll r ,Neutral
nana kofi sefa,kofi_sefa,2019-11-11 16:40:41," shirt alert: the new italy away shirt has been unveiled by #puma   
euro 2020 ready   ",Positif
Onesole23,KickBanGa,2019-11-11 16:39:56,yeezy december #staywoke  #kicksnmusic #s #sneakernews #photography #street #style #solecollector ,Neutral
Onesole23,KickBanGa,2019-11-11 16:39:24,yeezy december #staywoke  #kicksnmusic #s #sneakernews #photography #street #style #solecollector ,Neutral
Vietnam Sneaker Generation,VietnamSneakerG,2019-11-11 16:36:21, take 20% off site wide with code 20sitewide - #puma #footwear #bodega ,Neutral
TITOLO,titoloshop,2019-11-11 16:30:29,"out now puma rs-x puzzle ""black-castlerock"" shop  style code 371570-02 #puma ",Neutral
Fútbol Emotion,futbolemotion,2019-11-11 16:30:00,cold as ice -- enlace web: -- #puma #pumaone #pumafootball #futbolemotion ,Neutral
Khoa A Nguyen 🇻🇳🇺🇸👑💫😇🌍🇪🇺🗺👟🌟✨⚡️🏆,khoanguyen6322,2019-11-11 16:15:06, take 20% off site wide with code 20sitewide - #puma #footwear #bodega ,Neutral
Gianna Porcaro,giannaporcaro,2019-11-11 16:12:45, take 20% off site wide with code 20sitewide - #puma #footwear #bodega ,Neutral
Soccer Shirt Football,VintageJersey21,2019-11-11 16:09:53,check out great britain home rugby league shirt 2005/2006 jersey m puma camiseta #puma via ,Positif
Annette Ruzicka,Ferazi1,2019-11-11 16:05:29, #puma #id79351 #manhattanacc #male #2yearsold #neutered puma needs #pledges and #donations so that a #newhopepartner # ,Neutral
BODEGA,bodega,2019-11-11 16:01:08,take 20% off site wide with code 20sitewide - #puma #footwear #bodega ,Neutral
Play Golf,playmygolf,2019-11-11 15:48:06,golf - puma golf socks  ss stripe crew  grey aw17: current prince purchase details puma golf socks  ss stripe c  ,Positif
Don Robinson,greentechdon,2019-11-11 15:44:33, puma lqd cell omega black mesh cross training shoes currently on #ruze #ruzeshoes #puma #30days ,Neutral
Vintage Moonriver,vtg_moonriver,2019-11-11 15:39:34,online only! #puma #jackets ,Neutral
𝙑𝙞𝙘𝙩𝙤𝙧 𝙎. 𝘾𝙝𝙪𝙧𝙘𝙝𝙞𝙡𝙡,VictorNochill,2019-11-11 15:24:01, #selenagomez ( ) fronts #puma's cali sport campaign. ,Neutral
y u i TODAY,pwrofthemusic,2019-11-11 15:23:49, #selenagomez ( ) fronts #puma's cali sport campaign. ,Neutral
IMG Models,IMGmodels,2019-11-11 15:23:38,#selenagomez ( ) fronts #puma's cali sport campaign. ,Neutral
Jason Jacobs,JasonTweakdOut,2019-11-11 15:15:21, with tetris editions    pumasouthafrica #puma #pumarsxtetris    ,Neutral
Play Golf,playmygolf,2019-11-11 15:13:34,golf - puma golf shirt  ultralite refraction  vibrant orange le aw18: current prince purchase details puma golf  ,Positif
LawraNaa,tgtdaguy,2019-11-11 15:00:21," shirt alert: the new italy away shirt has been unveiled by #puma 

what do you think? ",Positif
Pocket,pocketmoni2030,2019-11-11 15:00:06," #italy unveil their new away shirt, following in the vein of their controversial green jersey  # ",Negatif
Pro Soccer Kits ⚽️,prosoccerkits,2019-11-11 14:56:15,the new 2020 #italy away kit by #puma for #euro2020 #football #fussball #soccer #futbol ,Neutral
karthikeyan K,I_KKarthikeyan,2019-11-11 14:50:46, puma boyz keep doing the most #kfcproposal . bhut hector and his lovely bride nonhlanhla each deserve r10 ,Positif
Ruze Shoes,RuzeShoes,2019-11-11 14:35:16, puma lqd cell omega black mesh cross training shoes currently on #ruze #ruzeshoes ,Neutral
TITOLO,titoloshop,2019-11-11 14:30:20,"out now puma rs-x puzzle ""black-castlerock"" click here  style code 371570-02 #puma ",Neutral
Lee 'Boomer' Mair,mair337,2019-11-11 14:27:39,#potn #ott #puma pair of pumas over the house. taking a sneaky look at the #doncasterflood ,Negatif
Dave Guy,amagicdrag0n,2019-11-11 14:23:11,#realadsb #egcn type: #puma tail: #xw213 callsign: #ambush01 icao: #43c28f ,Neutral
cuntus1919,cuntus1919,2019-11-11 14:21:35,#puma #leeds #lufc #leecord #casualartist #green is good . anything green is good enough to eat or smoke ,Positif
Shirt King,ShirtKingSOE,2019-11-11 14:11:24,"2014 squad signed #puma #rfc #rangers home shirt- adult large- very good condition- 50 inc rec. post (uk, more wor  ",Positif
sefa sports updates,Sefa_sports,2019-11-11 14:11:03,shirt alert: the new italy away shirt has been unveiled by #puma euro 2020 ready ,Positif
Play Golf,playmygolf,2019-11-11 13:53:32,golf - puma waterproof golf jacket  ls rain popover grey ss16: current prince purchase details puma waterproof go  ,Positif
eBay Deals US,eBay_Deals_US,2019-11-11 13:39:17,us $9.99. #puma amplified men's big logo tee... buy it now: ,Neutral
Cherry☆,allright_jidai,2019-11-11 13:35:06,new shoes # # # #  # #shoes #sneaker #puma #pumasneakers #pink ,Neutral
Irfan,NextToSRK,2019-11-11 13:27:19, puma boyz keep doing the most #kfcproposal . bhut hector and his lovely bride nonhlanhla each deserve r10 000 of ,Positif
Tony Thijs,OpenMarketingTV,2019-11-11 13:24:46,"hans olykan: #puma rescued from a zoo can t be released into the wild, lives as a #spoiled #house #cat ",Positif
StockX Live Feed,StockXLive,2019-11-11 13:15:16,lowest ask: $144 puma thunder end shadow rise sz. 7 #puma ,Negatif
Nharna khweku Whenesday,NWhenesday,2019-11-11 13:15:00," #italy unveil their new away shirt, following in the vein of their controversial green jersey  # ",Negatif
▪️ A ' GEM / 9 渋谷店 （ ＠agem_9 ）▪️旧GOSTAR DE FUGA渋谷店,agem9shibuya,2019-11-11 12:59:53,"onepiece puma cell venom ""treasure hunt"" #onepiece #puma #   ",Positif
Donald Long,DonaldL63545655,2019-11-11 12:23:37, check out st. louis rams super bowl xxiv champions nfl 2000 puma osfm black/silver #puma  via  ,Positif
Headline Kits,headlinekits,2019-11-11 12:19:16,website full of new stock should be available later today. peeled. #nufc #newcastle #football #footballshirt  ,Neutral
Jason Jacobs,JasonTweakdOut,2019-11-11 11:56:51, u14 boys winners at the  jam with biancasjacobs ,Positif
Nikolay Klimchuk,klimchuk,2019-11-11 11:56:02,#realadsb #egcn type: #puma tail: #xw213 callsign: #ambush01 icao: #43c28f ,Neutral
